,%polar,total sasa,apolar,polar,,,,,,,,,,,,,,,
219,35.841,209.931,134.69,75.2415,,,,,,,,,,,,,,,
220,0,108.758,108.758,0,,,,,,,,,,,,,,,
221,92.3852,66.6464,5.07502,61.5713,,,,,,,,,,,,,,,
222,20.6655,430.201,341.298,88.903,,,,,,,,,,,,,,,
223,26.1923,251.55,185.664,65.8868,,,,,,,,,,,,,,,
224,19.087,102.874,83.2385,19.6356,,,,,,,,,,,,,,,
225,18.9808,102.206,82.8068,19.3996,,,,,,,,,,,,,,,
226,17.6346,94.4861,77.8239,16.6622,,,,,,,,,,,,,,,
227,21.3099,354.571,279.012,75.559,,,,,,,,,,,,,,,
228,18.5602,305.304,248.639,56.6651,,,,,,,,,,,,,,,
229,24.8701,79.0015,59.3537,19.6478,,,,,,,,,,,,,,,
230,19.1633,302.604,244.615,57.9891,,,,,,,,,,,,,,,
231,15.5414,125.6,106.08,19.52,,,,,,,,,,,,,,,
232,0,95.0905,95.0905,0,,,,,,,,,,,,,,,
233,41.1617,218.642,128.645,89.9969,,,,,,,,,,,,,,,
234,12.8358,278.695,242.922,35.7728,,,,,,,,,,,,,,,
235,16.3892,214.366,179.233,35.1328,,,,,,,,,,,,,,,
236,40.5513,188.328,111.958,76.3692,,,,,,,,,,,,,,,
237,16.3462,219.681,183.771,35.9094,,,,,,,,,,,,,,,
238,12.8354,336.075,292.939,43.1367,,,,,,,,,,,,,,,
239,24.4279,80.2681,60.6602,19.6078,,,,,,,,,,,,,,,
240,10.6964,440.092,393.018,47.074,,,,,,,,,,,,,,,
241,31.341,184.694,126.809,57.885,,,,,,,,,,,,,,,
242,25.9129,341.632,253.105,88.5266,,,,,,,,,,,,,,,
243,15.1102,490.02,415.977,74.0431,,,,,,,,,,,,,,,
244,27.51,214.339,155.374,58.9648,,,,,,,,,,,,,,,
245,23.5994,357.97,273.491,84.4787,,,,,,,,,,,,,,,
246,49.3755,133.878,67.7751,66.1029,,,,,,,,,,,,,,,
247,23.1748,372.575,286.231,86.3433,,,,,,,,,,,,,,,
248,26.6997,319.937,234.515,85.4221,,,,,,,,,,,,,,,
249,39.0208,182.319,111.176,71.1422,,,,,,,,,,,,,,,
250,0,108.301,108.301,0,,,,,,,,,,,,,,,
251,21.0852,309.574,244.3,65.2744,,,,,,,,,,,,,,,
252,39.0886,180.653,110.038,70.6148,,,,,,,,,,,,,,,
253,21.3064,365.427,287.567,77.8593,,,,,,,,,,,,,,,
254,15.1023,333.615,283.231,50.3837,,,,,,,,,,,,,,,
255,11.1287,333.125,296.053,37.0724,,,,,,,,,,,,,,,
256,14.6209,184.941,157.901,27.0401,,,,,,,,,,,,,,,
257,28.1516,170.608,122.579,48.029,,,,,,,,,,,,,,,
259,16.3064,270.523,226.41,44.1126,,,,,,,,,,,,,,,
260,15.9198,430.696,362.13,68.5662,,,,,,,,,,,,,,,
261,18.0794,238.567,195.435,43.1314,,,,,,,,,,,,,,,
262,24.77,79.0637,59.4796,19.584,,,,,,,,,,,,,,,
263,9.65322,523.259,472.747,50.5113,,,,,,,,,,,,,,,
264,16.2211,352.617,295.419,57.1985,,,,,,,,,,,,,,,
265,41.7108,203.588,118.67,84.918,,,,,,,,,,,,,,,
266,18.1474,456.291,373.486,82.805,,,,,,,,,,,,,,,
267,12.3924,378.564,331.651,46.9131,,,,,,,,,,,,,,,
268,11.0889,368.825,327.926,40.8988,,,,,,,,,,,,,,,
269,13.3962,338.037,292.753,45.284,,,,,,,,,,,,,,,
270,34.8334,238.364,155.334,83.0304,,,,,,,,,,,,,,,
271,8.3715,412.156,377.653,34.5037,,,,,,,,,,,,,,,
272,31.8612,192.637,131.261,61.3766,,,,,,,,,,,,,,,
273,11.9136,362.122,318.98,43.1416,,,,,,,,,,,,,,,
274,28.5666,224.067,160.059,64.0082,,,,,,,,,,,,,,,
275,9.98315,500.497,450.532,49.9654,,,,,,,,,,,,,,,
276,23.6401,579.271,442.331,136.94,,,,,,,,,,,,,,,
277,32.6644,253.041,170.387,82.6542,,,,,,,,,,,,,,,
278,62.8788,105.422,39.1338,66.2878,,,,,,,,,,,,,,,
279,11.2969,492.373,436.75,55.6227,,,,,,,,,,,,,,,
280,13.4615,556.33,481.44,74.8905,,,,,,,,,,,,,,,
281,34.6953,299.053,195.296,103.758,,,,,,,,,,,,,,,
282,27.2669,249.835,181.713,68.1224,,,,,,,,,,,,,,,
283,18.1365,467.839,382.989,84.8498,,,,,,,,,,,,,,,
284,32.2227,322.117,218.322,103.795,,,,,,,,,,,,,,,
285,57.1984,241.306,103.283,138.023,,,,,,,,,,,,,,,
286,14.6538,369.296,315.18,54.1159,,,,,,,,,,,,,,,
287,11.8202,586.17,516.883,69.2866,,,,,,,,,,,,,,,
288,44.8473,274.782,151.55,123.232,,,,,,,,,,,,,,,
289,22.9494,471.895,363.598,108.297,,,,,,,,,,,,,,,
290,23.8716,448.416,341.372,107.044,,,,,,,,,,,,,,,
291,16.4512,737.45,616.131,121.32,,,,,,,,,,,,,,,
292,45.8568,210.131,113.772,96.3593,,,,,,,,,,,,,,,
293,25.1162,373.191,279.46,93.7313,,,,,,,,,,,,,,,
